query	db_used	method	pident	evalue	bitscore	alignment_length	accession	staxids	sscinames	stitle	taxonomy	kingdom	phylum	class	order	family	genus	species	kingdom_taxid	phylum_taxid	class_taxid	order_taxid	family_taxid	genus_taxid	species_taxid
consensus_cl_id_0_total_supporting_reads_70730	MIDORI	midori	99.696	0.0	1205	658	MN868783.1.<1.>658###root_1;Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Tachinidae_27474;Ectophasia_569037;Ectophasia_crassipennis_1562789	0	N/A	MN868783.1.<1.>658###root_1;Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Tachinidae_27474;Ectophasia_569037;Ectophasia_crassipennis_1562789	Eukaryota;Arthropoda;Insecta;Diptera;Tachinidae;Ectophasia;Ectophasia_crassipennis	Eukaryota	Arthropoda	Insecta	Diptera	Tachinidae	Ectophasia	Ectophasia_crassipennis	2759	6656	50557	7147	27474	569037	1562789
consensus_cl_id_0_total_supporting_reads_70730	MIDORI	midori	99.081	0.0	1173	653	MT048310.1.<1.>653###root_1;Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Tachinidae_27474;Ectophasia_569037;Ectophasia_oblonga_2171779	0	N/A	MT048310.1.<1.>653###root_1;Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Tachinidae_27474;Ectophasia_569037;Ectophasia_oblonga_2171779	Eukaryota;Arthropoda;Insecta;Diptera;Tachinidae;Ectophasia;Ectophasia_oblonga	Eukaryota	Arthropoda	Insecta	Diptera	Tachinidae	Ectophasia	Ectophasia_oblonga	2759	6656	50557	7147	27474	569037	2171779
consensus_cl_id_0_total_supporting_reads_70730	MIDORI	midori	95.714	0.0	1127	700	MW392922.1.<1.>806###root_1;Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Tachinidae_27474;Clytiomya_1918227;Clytiomya_continua_1918228	0	N/A	MW392922.1.<1.>806###root_1;Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Tachinidae_27474;Clytiomya_1918227;Clytiomya_continua_1918228	Eukaryota;Arthropoda;Insecta;Diptera;Tachinidae;Clytiomya;Clytiomya_continua	Eukaryota	Arthropoda	Insecta	Diptera	Tachinidae	Clytiomya	Clytiomya_continua	2759	6656	50557	7147	27474	1918227	1918228
consensus_cl_id_0_total_supporting_reads_70730	MIDORI	midori	96.076	0.0	1122	688	MK644821.1.<2161.3691###root_1;Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Tachinidae_27474;Ectophasia_569037;Ectophasia_rotundiventris_569038	0	N/A	MK644821.1.<2161.3691###root_1;Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Tachinidae_27474;Ectophasia_569037;Ectophasia_rotundiventris_569038	Eukaryota;Arthropoda;Insecta;Diptera;Tachinidae;Ectophasia;Ectophasia_rotundiventris	Eukaryota	Arthropoda	Insecta	Diptera	Tachinidae	Ectophasia	Ectophasia_rotundiventris	2759	6656	50557	7147	27474	569037	569038
consensus_cl_id_0_total_supporting_reads_70730	MIDORI	midori	96.789	0.0	1092	654	MT048355.1.<1.>654###root_1;Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Tachinidae_27474;Clytiomya_1918227;Clytiomya_sola_2171777	0	N/A	MT048355.1.<1.>654###root_1;Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Tachinidae_27474;Clytiomya_1918227;Clytiomya_sola_2171777	Eukaryota;Arthropoda;Insecta;Diptera;Tachinidae;Clytiomya;Clytiomya_sola	Eukaryota	Arthropoda	Insecta	Diptera	Tachinidae	Clytiomya	Clytiomya_sola	2759	6656	50557	7147	27474	1918227	2171777
consensus_cl_id_1_total_supporting_reads_67314	MIDORI	midori	99.696	0.0	1205	658	MN868783.1.<1.>658###root_1;Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Tachinidae_27474;Ectophasia_569037;Ectophasia_crassipennis_1562789	0	N/A	MN868783.1.<1.>658###root_1;Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Tachinidae_27474;Ectophasia_569037;Ectophasia_crassipennis_1562789	Eukaryota;Arthropoda;Insecta;Diptera;Tachinidae;Ectophasia;Ectophasia_crassipennis	Eukaryota	Arthropoda	Insecta	Diptera	Tachinidae	Ectophasia	Ectophasia_crassipennis	2759	6656	50557	7147	27474	569037	1562789
consensus_cl_id_1_total_supporting_reads_67314	MIDORI	midori	99.081	0.0	1173	653	MT048310.1.<1.>653###root_1;Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Tachinidae_27474;Ectophasia_569037;Ectophasia_oblonga_2171779	0	N/A	MT048310.1.<1.>653###root_1;Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Tachinidae_27474;Ectophasia_569037;Ectophasia_oblonga_2171779	Eukaryota;Arthropoda;Insecta;Diptera;Tachinidae;Ectophasia;Ectophasia_oblonga	Eukaryota	Arthropoda	Insecta	Diptera	Tachinidae	Ectophasia	Ectophasia_oblonga	2759	6656	50557	7147	27474	569037	2171779
consensus_cl_id_1_total_supporting_reads_67314	MIDORI	midori	95.584	0.0	1125	702	MW392922.1.<1.>806###root_1;Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Tachinidae_27474;Clytiomya_1918227;Clytiomya_continua_1918228	0	N/A	MW392922.1.<1.>806###root_1;Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Tachinidae_27474;Clytiomya_1918227;Clytiomya_continua_1918228	Eukaryota;Arthropoda;Insecta;Diptera;Tachinidae;Clytiomya;Clytiomya_continua	Eukaryota	Arthropoda	Insecta	Diptera	Tachinidae	Clytiomya	Clytiomya_continua	2759	6656	50557	7147	27474	1918227	1918228
consensus_cl_id_1_total_supporting_reads_67314	MIDORI	midori	95.442	0.0	1120	702	MK644821.1.<2161.3691###root_1;Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Tachinidae_27474;Ectophasia_569037;Ectophasia_rotundiventris_569038	0	N/A	MK644821.1.<2161.3691###root_1;Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Tachinidae_27474;Ectophasia_569037;Ectophasia_rotundiventris_569038	Eukaryota;Arthropoda;Insecta;Diptera;Tachinidae;Ectophasia;Ectophasia_rotundiventris	Eukaryota	Arthropoda	Insecta	Diptera	Tachinidae	Ectophasia	Ectophasia_rotundiventris	2759	6656	50557	7147	27474	569037	569038
consensus_cl_id_1_total_supporting_reads_67314	MIDORI	midori	96.789	0.0	1092	654	MT048355.1.<1.>654###root_1;Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Tachinidae_27474;Clytiomya_1918227;Clytiomya_sola_2171777	0	N/A	MT048355.1.<1.>654###root_1;Eukaryota_2759;Arthropoda_6656;Insecta_50557;Diptera_7147;Tachinidae_27474;Clytiomya_1918227;Clytiomya_sola_2171777	Eukaryota;Arthropoda;Insecta;Diptera;Tachinidae;Clytiomya;Clytiomya_sola	Eukaryota	Arthropoda	Insecta	Diptera	Tachinidae	Clytiomya	Clytiomya_sola	2759	6656	50557	7147	27474	1918227	2171777
